Dates,Forecasted_Close,Close
2023-03-30 06:00:00,,1.3547
2023-03-30 06:15:00,,1.3553
2023-03-30 06:30:00,,1.3546
2023-03-30 06:45:00,,1.3552
2023-03-30 07:00:00,,1.3554
2023-03-30 07:15:00,,1.3556
2023-03-30 07:30:00,,1.3545
2023-03-30 07:45:00,,1.3537
2023-03-30 08:00:00,,1.354
2023-03-30 08:15:00,,1.3537
2023-03-30 08:30:00,,1.3541
2023-03-30 08:45:00,,1.3541
2023-03-30 09:00:00,,1.3539
2023-03-30 09:15:00,,1.3536
2023-03-30 09:30:00,,1.3534
2023-03-30 09:45:00,,1.3528
2023-03-30 10:00:00,,1.3539
2023-03-30 10:15:00,,1.3536
2023-03-30 10:30:00,,1.3526
2023-03-30 10:45:00,,1.3531
2023-03-30 11:00:00,,1.3539
2023-03-30 11:15:00,,1.3531
2023-03-30 11:30:00,,1.3529
2023-03-30 11:45:00,,1.3537
2023-03-30 12:00:00,,1.3532
2023-03-30 12:15:00,,1.353
2023-03-30 12:30:00,,1.353
2023-03-30 12:45:00,,1.3529
2023-03-30 13:00:00,,1.3528
2023-03-30 13:15:00,,1.3532
2023-03-30 13:30:00,,1.3539
2023-03-30 13:45:00,,1.3538
2023-03-30 14:00:00,,1.3536
2023-03-30 14:15:00,,1.3533
2023-03-30 14:30:00,,1.3526
2023-03-30 14:45:00,,1.352
2023-03-30 15:00:00,,1.3523
2023-03-30 15:15:00,,1.3524
2023-03-30 15:30:00,,1.3525
2023-03-30 15:45:00,,1.3524
2023-03-30 16:00:00,,1.3524
2023-03-30 16:15:00,,1.3522
2023-03-30 16:30:00,,1.3523
2023-03-30 16:45:00,,1.3523
2023-03-30 17:00:00,,1.3525
2023-03-30 17:15:00,,1.3524
2023-03-30 17:30:00,,1.3525
2023-03-30 17:45:00,,1.3525
2023-03-30 18:00:00,,1.3523
2023-03-30 18:15:00,,1.3523
2023-03-30 18:30:00,,1.3523
2023-03-30 18:45:00,,1.3523
2023-03-30 19:00:00,,1.3521
2023-03-30 19:15:00,,1.3521
2023-03-30 19:30:00,,1.352
2023-03-30 19:45:00,,1.3523
2023-03-30 20:00:00,,1.3521
2023-03-30 20:15:00,,1.3521
2023-03-30 20:30:00,,1.352
2023-03-30 20:45:00,,1.352
2023-03-30 21:00:00,,1.3519
2023-03-30 21:15:00,,1.3515
2023-03-30 21:30:00,,1.351
2023-03-30 21:45:00,,1.3515
2023-03-30 22:00:00,,1.3516
2023-03-30 22:15:00,,1.3515
2023-03-30 22:30:00,,1.3515
2023-03-30 22:45:00,,1.3516
2023-03-30 23:00:00,,1.352
2023-03-30 23:15:00,,1.3522
2023-03-30 23:30:00,,1.3525
2023-03-30 23:45:00,,1.352
2023-03-31 00:00:00,,1.352
2023-03-31 00:15:00,,1.3522
2023-03-31 00:30:00,,1.3525
2023-03-31 00:45:00,,1.3526
2023-03-31 01:00:00,,1.3528
2023-03-31 01:15:00,,1.3532
2023-03-31 01:30:00,,1.3527
2023-03-31 01:45:00,,1.3528
2023-03-31 02:00:00,,1.3529
2023-03-31 02:15:00,,1.3537
2023-03-31 02:30:00,,1.3537
2023-03-31 02:45:00,,1.3536
2023-03-31 03:00:00,,1.3539
2023-03-31 03:15:00,,1.3549
2023-03-31 03:30:00,,1.3558
2023-03-31 03:45:00,,1.3554
2023-03-31 04:00:00,,1.3556
2023-03-31 04:15:00,,1.3557
2023-03-31 04:30:00,,1.3553
2023-03-31 04:45:00,,1.3555
2023-03-31 05:00:00,,1.3549
2023-03-31 05:15:00,,1.3548
2023-03-31 05:30:00,,1.3551
2023-03-31 05:45:00,,1.3545
2023-03-31 06:00:00,,1.3542
2023-03-31 06:15:00,,1.3541
2023-03-31 06:30:00,,1.3539
2023-03-31 06:45:00,,1.3548
2023-03-31 07:00:00,,1.3555
2023-03-31 07:15:00,,1.3556
2023-03-31 07:30:00,,1.3547
2023-03-31 07:45:00,,1.3549
2023-03-31 08:00:00,,1.3551
2023-03-31 08:15:00,,1.3551
2023-03-31 08:30:00,,1.3549
2023-03-31 08:45:00,,1.3546
2023-03-31 09:00:00,,1.3539
2023-03-31 09:15:00,,1.3537
2023-03-31 09:30:00,,1.3529
2023-03-31 09:45:00,,1.3531
2023-03-31 10:00:00,,1.3529
2023-03-31 10:15:00,,1.3536
2023-03-31 10:30:00,,1.3527
2023-03-31 10:45:00,,1.3535
2023-03-31 11:00:00,,1.3537
2023-03-31 11:15:00,,1.353
2023-03-31 11:30:00,,1.3524
2023-03-31 11:45:00,,1.3525
2023-03-31 12:00:00,,1.3526
2023-03-31 12:15:00,,1.3527
2023-03-31 12:30:00,,1.3528
2023-03-31 12:45:00,,1.3523
2023-03-31 13:00:00,,1.3531
2023-03-31 13:15:00,,1.354
2023-03-31 13:30:00,,1.3536
2023-03-31 13:45:00,,1.3537
2023-03-31 14:00:00,,1.354
2023-03-31 14:15:00,,1.3539
2023-03-31 14:30:00,,1.3533
2023-03-31 14:45:00,,1.3532
2023-03-31 15:00:00,,1.3528
2023-03-31 15:15:00,,1.3524
2023-03-31 15:30:00,,1.3528
2023-03-31 15:45:00,,1.3516
2023-03-31 16:00:00,,1.3516
